date,gee_emissions
01-2012,1722
02-2012,1728
03-2012,718
04-2012,121
05-2012,128
06-2012,137
07-2012,123
08-2012,112
09-2012,98
10-2012,122
11-2012,1132
12-2012,2050
01-2013,2575
02-2013,2344
03-2013,1942
04-2013,391
05-2013,123
06-2013,112
07-2013,123
08-2013,145
09-2013,167
10-2013,194
11-2013,645
12-2013,1612
01-2014,2001
02-2014,2384
03-2014,892
04-2014,638
05-2014,230
06-2014,149
07-2014,177
08-2014,158
09-2014,179
10-2014,174
11-2014,757
12-2014,1454
01-2015,1792
02-2015,2204
03-2015,1050
04-2015,489
05-2015,175
06-2015,182
07-2015,170
08-2015,164
09-2015,193
10-2015,198
11-2015,693
12-2015,1451
01-2016,1503
02-2016,1787
03-2016,2024
04-2016,1109
05-2016,599
06-2016,181
07-2016,123
08-2016,159
09-2016,192
10-2016,155
11-2016,710
12-2016,1351
01-2017,1618
02-2017,1563
03-2017,1096
04-2017,116
05-2017,94
06-2017,135
07-2017,95
08-2017,107
09-2017,111
10-2017,108
11-2017,834
12-2017,1177
01-2018,2045
02-2018,1365
03-2018,1713
04-2018,829
05-2018,335
06-2018,136
07-2018,122
08-2018,138
09-2018,142
10-2018,163
11-2018,987
12-2018,647
01-2019,1272
02-2019,1290
03-2019,421
04-2019,57
05-2019,90
06-2019,91
07-2019,89
08-2019,89
09-2019,89
10-2019,96
11-2019,619
12-2019,1321
01-2020,1369
02-2020,1194
03-2020,1250
04-2020,1227
05-2020,666
06-2020,271
07-2020,270
08-2020,154
09-2020,116
10-2020,359
11-2020,1068
12-2020,1885
