date,waste_water_production
jan.-2012,5709
fev.-2012,4743
mar.-2012,4662
abr.-2012,4374
mai.-2012,4713
jun.-2012,3785
jul.-2012,3385
ago.-2012,2935
set.-2012,2767
out.-2012,3672
nov.-2012,4091
dez.-2012,4483
jan.-2013,6055
fev.-2013,6835
mar.-2013,7713
abr.-2013,9222
mai.-2013,7392
jun.-2013,5654
jul.-2013,5340
ago.-2013,3858
set.-2013,4278
out.-2013,6317
nov.-2013,5400
dez.-2013,6087
jan.-2014,11048
fev.-2014,13639
mar.-2014,11760
abr.-2014,9988
mai.-2014,8622
jun.-2014,6731
jul.-2014,5890
ago.-2014,4086
set.-2014,4202
out.-2014,4839
nov.-2014,5712
dez.-2014,5720
jan.-2015,5698
fev.-2015,5457
mar.-2015,5590
abr.-2015,5043
mai.-2015,5012
jun.-2015,4923
jul.-2015,4012
ago.-2015,3259
set.-2015,3754
out.-2015,4374
nov.-2015,4377
dez.-2015,3568
jan.-2016,6940
fev.-2016,6719
mar.-2016,7645
abr.-2016,7676
mai.-2016,6713
jun.-2016,5633
jul.-2016,4500
ago.-2016,4565
set.-2016,3276
out.-2016,4965
nov.-2016,5197
dez.-2016,5020
jan.-2017,4154
fev.-2017,4381
mar.-2017,4912
abr.-2017,3663
mai.-2017,4709
jun.-2017,3491
jul.-2017,2544
ago.-2017,2627
set.-2017,2485
out.-2017,2542
nov.-2017,2575
dez.-2017,2430
jan.-2018,3578
fev.-2018,3088
mar.-2018,5108
abr.-2018,5189
mai.-2018,4308
jun.-2018,3939
jul.-2018,3401
ago.-2018,2677
set.-2018,2338
out.-2018,2903
nov.-2018,4086
dez.-2018,2982
jan.-2019,3562
fev.-2019,3466
mar.-2019,2778
abr.-2019,3040
mai.-2019,3206
jun.-2019,2236
jul.-2019,4635
ago.-2019,1930
set.-2019,1970
out.-2019,2403
nov.-2019,3057
dez.-2019,3640
jan.-2020,4270
fev.-2020,2997
mar.-2020,2997
abr.-2020,3520
mai.-2020,3226
jun.-2020,2956
jul.-2020,2558
ago.-2020,2203
set.-2020,2045
out.-2020,2615
nov.-2020,2620
dez.-2020,3689
