date,waste_water_production
01-2012,5709
02-2012,4743
03-2012,4662
04-2012,4374
05-2012,4713
06-2012,3785
07-2012,3385
08-2012,2935
09-2012,2767
10-2012,3672
11-2012,4091
12-2012,4483
01-2013,6055
02-2013,6835
03-2013,7713
04-2013,9222
05-2013,7392
06-2013,5654
07-2013,5340
08-2013,3858
09-2013,4278
10-2013,6317
11-2013,5400
12-2013,6087
01-2014,11048
02-2014,13639
03-2014,11760
04-2014,9988
05-2014,8622
06-2014,6731
07-2014,5890
08-2014,4086
09-2014,4202
10-2014,4839
11-2014,5712
12-2014,5720
01-2015,5698
02-2015,5457
03-2015,5590
04-2015,5043
05-2015,5012
06-2015,4923
07-2015,4012
08-2015,3259
09-2015,3754
10-2015,4374
11-2015,4377
12-2015,3568
01-2016,6940
02-2016,6719
03-2016,7645
04-2016,7676
05-2016,6713
06-2016,5633
07-2016,4500
08-2016,4565
09-2016,3276
10-2016,4965
11-2016,5197
12-2016,5020
01-2017,4154
02-2017,4381
03-2017,4912
04-2017,3663
05-2017,4709
06-2017,3491
07-2017,2544
08-2017,2627
09-2017,2485
10-2017,2542
11-2017,2575
12-2017,2430
01-2018,3578
02-2018,3088
03-2018,5108
04-2018,5189
05-2018,4308
06-2018,3939
07-2018,3401
08-2018,2677
09-2018,2338
10-2018,2903
11-2018,4086
12-2018,2982
01-2019,3562
02-2019,3466
03-2019,2778
04-2019,3040
05-2019,3206
06-2019,2236
07-2019,4635
08-2019,1930
09-2019,1970
10-2019,2403
11-2019,3057
12-2019,3640
01-2020,4270
02-2020,2997
03-2020,2997
04-2020,3520
05-2020,3226
06-2020,2956
07-2020,2558
08-2020,2203
09-2020,2045
10-2020,2615
11-2020,2620
12-2020,3689
